Index,ProductName,ScrapeDate,ScrapedIndex,ScrapedIndexTrueRank,CorrectedIndexTrueRank,ScrapedIndexPrice,CorrectedPrice,ScrapedIndexVendor,ScrapedIndexVendorType,BBScrapedPrice,BBVendorType,BBVendor,BBCorrectedPrice
112,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",2016-06-21,5,5,3,13.99,13.99,make you smile,Other,8.24,Amazon,Ships from and sold by Amazon.com.,13.64
113,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",2016-06-21,6,6,4,14.78,14.78,SellerTech0101,Other,8.24,Amazon,Ships from and sold by Amazon.com.,13.64
114,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",2016-06-21,2,2,5,10.25,15.65,Janitor Supply Depot,FBA,8.24,Amazon,Ships from and sold by Amazon.com.,13.64
115,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",2016-06-21,3,3,6,11.34,16.74,Sell Lounge Inc.,FBA,8.24,Amazon,Ships from and sold by Amazon.com.,13.64
116,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",2016-06-21,7,7,7,14.88,20.28,Trademark Supplies,FBA,8.24,Amazon,Ships from and sold by Amazon.com.,13.64
117,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",2016-06-21,8,8,8,22.19,22.19,Environmental Safety Services,Other,8.24,Amazon,Ships from and sold by Amazon.com.,13.64
118,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",2016-06-21,9,9,9,29.98,29.98,T. DEALS,Other,8.24,Amazon,Ships from and sold by Amazon.com.,13.64
119,"3M Utility Duct Tape 2929 Silver, 1.88 in x 50 yd 5.8 mils (Pack of 1)",2016-06-21,10,10,10,31.94,31.94,croresbooks,Other,8.24,Amazon,Ships from and sold by Amazon.com.,13.64
120,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",2016-06-28,1,1,1,8.07,8.07,Tool Deals,Other,8.890000000000001,Amazon,Ships from and sold by Amazon.com.,13.99
121,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",2016-06-28,2,2,2,8.09,8.09,"Pro-Safety, Inc",Other,8.890000000000001,Amazon,Ships from and sold by Amazon.com.,13.99
122,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",2016-06-28,3,3,3,8.43,8.43,"SIM Supply, Inc.",Other,8.890000000000001,Amazon,Ships from and sold by Amazon.com.,13.99
123,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",2016-06-28,4,4,4,8.48,8.48,Eio,Other,8.890000000000001,Amazon,Ships from and sold by Amazon.com.,13.99
124,"3M Virtua CCS Protective Eyewear 11872-00000-20, Foam Gasket, Anti Fog Lens, Clear",2016-06-28,5,5,5,8.630000000000001,8.630000000000001,BHP SAFETY PRODUCTS,Other,8.890000000000001,Amazon,Ships from and sold by Amazon.com.,13.99
